course_title,discount_price_vnd,discount_pct,rating_to_price_ratio,discount_price_per_student
[NEW] Google Cloud Generative AI Leader - 6 Full Mock Exams,279000.0,0.6418485237483954,1.6834126564427994e-05,35.98606990842254
Generative AI 2025 Executive Briefing: LLMs for Leaders,289000.0,0.5743740795287187,1.6761889434296292e-05,56.74455134498331
Introduction to Data Engineering using Generative AI,279000.0,0.6508135168961202,1.6567917489576476e-05,73.32457293035479
AI-Agents: Automation & Business with LangChain & LLM Apps,289000.0,0.2756892230576441,1.5777613323466075e-05,11.88860092969682
Complete MLOps Bootcamp With 10+ End To End ML Projects,279000.0,0.7633587786259541,1.5731485688323492e-05,10.011482704176833
AI Agents & Workflows - The Practical Guide,299000.0,0.7279344858962693,1.55195681511471e-05,29.630363690417205
The Complete Agentic AI Engineering Course (2025),309000.0,0.7287093942054435,1.5484537935994248e-05,2.5522635852282582
Data Science & AI Masters 2025 - From Python To Gen AI,309000.0,0.7506053268765134,1.530656870462696e-05,17.57579204823389
AI Agents: Building Teams of LLM Agents that Work For You,299000.0,0.7485281749369217,1.5012694040827033e-05,20.422102315415614
Learn Agentic AI â€“ Build Multi-Agent Automation Workflows,309000.0,0.7238605898123325,1.49617747760424e-05,38.313701177929325
